﻿id,type,knowledge,question,options,answer,explanation
zl011,single,隔年增长率,某企业2022年产值增长10%，2023年产值增长20%。2023年相对于2021年的隔年增长率为多少？,28%|||30%|||32%|||35%,2,隔年增长率=q₁+q₂+q₁×q₂=10%+20%+10%×20%=32%。
zl012,single,倍数关系,某公司2020年产值为200万元，2023年产值为800万元。2023年的产值是2020年的多少倍？,2倍|||3倍|||4倍|||5倍,2,倍数=800÷200=4倍。
zl013,single,基期比重,2023年某公司销售额1000万元，同比增长25%，其中A产品销售额400万元，同比增长20%。A产品的销售占比与上年相比有何变化？,上升约1个百分点|||下降约1个百分点|||上升约2个百分点|||下降约2个百分点,1,现期比重=400/1000=40%；基期比重=(400/1.2)/(1000/1.25)=333.3/800=41.7%；比重变化=40%-41.7%≈-1.7个百分点，即下降约2个百分点，选B。
zl014,single,增长量计算,某企业2022年营收500万元，2023年营收600万元。2023年比2022年增长了多少万元？,80万元|||90万元|||100万元|||110万元,2,增长量=现期值-基期值=600-500=100万元。
zl015,single,年均增长,某企业2019年产值为400万元，2023年产值为800万元。该企业年均增长量为多少万元？,80万元|||100万元|||120万元|||150万元,1,年均增长量=(末期值-初期值)/n=(800-400)/4=400/4=100万元。n为年份差=2023-2019=4。
zl016,single,百分点概念,某城市2022年城镇化率为68%，2023年城镇化率为72%。2023年城镇化率比2022年提高了多少个百分点？,3个百分点|||4个百分点|||5个百分点|||6个百分点,1,72%-68%=4个百分点。
zl017,single,贸易顺差逆差,某国2023年出口额为5000亿美元，进口额为4500亿美元。该国的贸易状况是？,贸易逆差500亿美元|||贸易顺差500亿美元|||贸易平衡|||无法判断,1,贸易顺差=出口额-进口额=5000-4500=500亿美元。出口>进口为顺差。
zl018,single,贡献率,某省GDP增长1000亿元，其中第二产业增长600亿元。第二产业对GDP增长的贡献率为多少？,50%|||55%|||60%|||65%,2,贡献率=部分增长量÷整体增长量×100%=600÷1000×100%=60%。
zl019,single,拉动增长,某省GDP为50000亿元，同比增长10%，其中第一产业增长200亿元，基期为1800亿元。第一产业拉动全省GDP增长约多少个百分点？,约0.36个百分点|||约0.4个百分点|||约0.5个百分点|||约0.6个百分点,1,拉动增长=部分增长量÷整体基期值×100%=200÷50000×100%=0.4个百分点。
zl020,single,利润率,某企业2023年收入800万元，利润200万元。该企业的利润率为多少？,20%|||25%|||30%|||35%,1,利润率=利润÷收入×100%=200÷800×100%=25%。
zl021,single,翻番计算,某企业2020年产值为100万元，计划翻3番后产值为多少万元？,300万元|||400万元|||600万元|||800万元,3,翻n番=原值×2^n=100×2³=100×8=800万元。
zl022,single,人口自然增长率,某地区年出生人口2万人，死亡人口1万人，年平均人口50万人。该地区的人口自然增长率为多少‰？,10‰|||15‰|||20‰|||25‰,2,人口自然增长率=(出生人口-死亡人口)/年平均人口×1000‰=(2-1)/50×1000‰=20‰。
zl023,single,平均增长,某公司员工总数增长10%，工资总额增长20%。该公司平均工资增长率为多少？,5.5%|||9.1%|||10%|||11%,1,平均增长率=(总量增长率-份数增长率)/(1+份数增长率)=(20%-10%)/(1+10%)=10%/110%≈9.1%。
zl024,single,比重变化计算,2023年某公司销售额1000万元，同比增长25%，A产品销售额400万元，同比增长30%。A产品销售额占比比上年变化多少个百分点？,上升1个百分点|||下降1个百分点|||上升2个百分点|||下降2个百分点,0,现期比重=400/1000=40%；基期比重=(400/1.3)/(1000/1.25)=307.7/800=38.5%；比重变化=40%-38.5%=1.5个百分点，约上升1个百分点，选A。
zl025,single,复合运算,某企业2020年产值500万元，2021年增长20%，2022年增长25%，2023年增长10%。2023年产值为多少万元？,800万元|||825万元|||850万元|||875万元,1,现期值=基期值×(1+q₁)×(1+q₂)×(1+q₃)=500×1.2×1.25×1.1=825万元。
zl026,single,增长量计算,2023年某市GDP为8400亿元，同比增长5%。该市2023年GDP增长量为多少亿元？,350亿元|||380亿元|||400亿元|||420亿元,2,增长量=现期值-基期值=8400-8400/1.05≈8400-8000=400亿元。
zl027,single,基期值计算,2023年某省财政收入为2760亿元，同比增长15%。该省2022年财政收入为多少亿元？,2300亿元|||2350亿元|||2400亿元|||2450亿元,2,基期值=现期值÷(1+增长率)=2760÷1.15=2400亿元。
zl028,single,比重计算,某年全国粮食总产量为6.5亿吨，其中小麦产量为1.3亿吨。小麦产量占全国粮食总产量的比重为多少？,15%|||18%|||20%|||25%,2,比重=部分量÷整体量×100%=1.3÷6.5×100%=20%。
zl029,single,比重变化判断,2022年某市工业产值为1200亿元，市GDP为3000亿元；2023年工业产值增长10%，市GDP增长8%。2023年工业产值占GDP比重与2022年相比如何变化？,上升|||下降|||不变|||无法判断,0,部分（工业）增长率10% > 整体（GDP）增长率8%，所以工业产值占GDP比重上升。
zl030,single,平均数计算,某公司2023年全年销售额为3600万元，公司年共有员工150人。该公司人均销售额为多少万元？,20万元|||22万元|||24万元|||25万元,2,人均销售额=总销售额÷员工数=3600÷150=24万元。
zl031,single,隔年增长率,某地区2021年GDP为5000亿元，2022年同比增长6%，2023年同比增长4%。2023年GDP相比2021年增长了多少？,9.5%|||10%|||10.24%|||10.5%,2,两年总增长率=q₁+q₂+q₁×q₂=6%+4%+6%×4%=10.24%。
zl032,single,贡献率,2023年某市GDP增长量为500亿元，其中第三产业增长量为300亿元。第三产业对GDP增长的贡献率为多少？,50%|||55%|||60%|||65%,2,贡献率=部分增长量÷整体增长量×100%=300÷500×100%=60%。
zl033,single,拉动增长,2022年某省GDP为4000亿元，2023年GDP增长400亿元，其中工业增加值增长160亿元。工业增加值拉动GDP增长约多少个百分点？,3个百分点|||4个百分点|||5个百分点|||6个百分点,1,拉动增长=部分增长量÷整体基期值×100%=160÷4000×100%=4个百分点。
zl034,single,倍数关系,2023年A省GDP为12000亿元，B省GDP为4000亿元。A省GDP是B省的多少倍？,2倍|||3倍|||4倍|||5倍,1,倍数=12000÷4000=3倍。
zl035,single,百分点概念,某市2022年城镇化率为65%，2023年城镇化率为68%。2023年城镇化率比2022年提高了多少个百分点？,提高了3%|||提高了3个百分点|||提高了3.5个百分点|||无法判断,1,两个百分点之差用"百分点"表示，不说"提高了3%"。68%-65%=3个百分点。
zl036,single,增长率计算,2022年某企业营收180亿元，2023年营收216亿元。该企业2023年营收同比增长率为多少？,15%|||18%|||20%|||22%,2,增长率=(216-180)÷180×100%=36÷180×100%=20%。
zl037,single,基期比重,2023年某市服务业产值为3300亿元，占GDP比重为55%。服务业产值同比增长10%，GDP同比增长10%。2022年服务业产值占GDP比重为多少？,50%|||52%|||55%|||58%,2,部分增长率=整体增长率，所以比重不变，基期比重也是55%。
zl038,single,年均增长,某市2020年GDP为5000亿元，2023年GDP为6655亿元。三年间年均增长量约为多少亿元？,485亿元|||518亿元|||552亿元|||580亿元,2,年均增长量=(6655-5000)÷3=1655÷3≈552亿元。
zl039,single,比重计算,2023年某省三次产业增加值分别为：第一产业800亿元，第二产业2400亿元，第三产业2800亿元。第二产业占GDP比重约为多少？,36%|||38%|||40%|||42%,2,GDP=800+2400+2800=6000亿元；第二产业比重=2400÷6000×100%=40%。
zl040,single,增长量计算,2023年全国社会消费品零售总额为47万亿元，同比增长7%。2023年比2022年多消费了多少万亿元？,约2.9万亿元|||约3.1万亿元|||约3.3万亿元|||约3.5万亿元,1,增长量=47-47/1.07≈47-43.9≈3.1万亿元。
zl041,single,贸易顺差逆差,2023年某国出口额为2800亿美元，进口额为3200亿美元。该国贸易差额情况如何？,顺差400亿美元|||逆差400亿美元|||顺差200亿美元|||逆差200亿美元,1,进口(3200)>出口(2800)，为贸易逆差。逆差额=3200-2800=400亿美元。
zl042,single,平均增长,2022年某省人均GDP为8万元，总人口5000万人；2023年GDP总量增长12%，总人口增长2%。2023年人均GDP约增长多少？,约9.8%|||约10%|||约10.5%|||约12%,0,人均增长率=(12%-2%)÷(1+2%)=10%÷1.02≈9.8%。
zl043,single,利润率,某企业2023年营业收入为500亿元，营业成本为380亿元，期间费用为60亿元。该企业利润率为多少？,10%|||12%|||14%|||16%,1,利润=500-380-60=60亿元；利润率=60÷500×100%=12%。
zl044,single,增长率计算,某市近三年固定资产投资：2021年1000亿元，2022年1200亿元，2023年1500亿元。2023年增速比2022年增速如何？,2023年增速更快|||2022年增速更快|||两年增速相同|||无法比较,0,2022年增速=(1200-1000)÷1000=20%；2023年增速=(1500-1200)÷1200=25%；2023年增速更快。
zl045,single,比重变化判断,2023年某省农业产值增长3%，省GDP增长8%。农业产值占GDP比重与上年相比如何变化？,上升|||下降|||不变|||不确定,1,部分（农业）增长率3% < 整体（GDP）增长率8%，所以农业占GDP比重下降。
zl046,single,翻番计算,某地区2010年GDP为2000亿元，计划到2030年实现翻两番。届时GDP目标为多少亿元？,6000亿元|||8000亿元|||10000亿元|||16000亿元,1,翻两番=原值×4=2000×4=8000亿元。翻n番是乘以2的n次方。
zl047,single,基期值计算,2023年某市城镇居民人均可支配收入为42000元，同比增长8%。2022年人均可支配收入约为多少元？,约36000元|||约37500元|||约38800元|||约39000元,3,基期值=42000÷1.08≈38889元≈39000元。
zl048,single,贡献率,2023年某市进出口总额增长200亿美元，其中出口增长150亿美元。出口对进出口总额增长的贡献率为多少？,60%|||65%|||70%|||75%,3,贡献率=150÷200×100%=75%。
zl049,single,比重计算,2023年某市财政支出中，教育支出为240亿元，占财政总支出比重为15%。该市2023年财政总支出为多少亿元？,1400亿元|||1500亿元|||1600亿元|||1800亿元,2,整体值=部分量÷比重=240÷15%=1600亿元。
zl050,single,复合运算,某企业2021年利润为100万元，2022年增长20%，2023年在2022年基础上下降10%。2023年利润为多少万元？,108万元|||110万元|||112万元|||115万元,0,2022年利润=100×1.2=120万元；2023年利润=120×0.9=108万元。多期变化要逐步计算，不能直接用20%-10%=10%。
